Year and Month,Jobs in thousands
2023.4166666666667,206.0
2023.3333333333333,206.1
2023.25,204.3
2023.1666666666667,203.3
2023.0833333333333,202.9
2023.0,202.8
2022.9166666666667,202.2
2022.8333333333333,200.8
2022.75,200.5
2022.6666666666667,200.3
2022.5833333333333,200.0
2022.5,199.4
2022.4166666666667,197.4
2022.3333333333333,196.9
2022.25,197.7
2022.1666666666667,197.9
2022.0833333333333,197.6
2022.0,199.0
2021.9166666666667,199.5
2021.8333333333333,199.2
2021.75,198.8
2021.6666666666667,199.1
2021.5833333333333,199.2
2021.5,197.8
2021.4166666666667,196.8
2021.3333333333333,196.6
2021.25,196.5
2021.1666666666667,196.1
2021.0833333333333,195.9
2021.0,195.3
2020.9166666666667,195.6
2020.8333333333333,194.3
2020.75,193.3
2020.6666666666667,193.4
2020.5833333333333,193.0
2020.5,191.3
2020.4166666666667,189.8
2020.3333333333333,191.4
2020.25,199.4
2020.1666666666667,198.8
2020.0833333333333,198.9
2020.0,198.4
2019.9166666666667,198.5
2019.8333333333333,197.8
2019.75,198.1
2019.6666666666667,198.8
2019.5833333333333,198.5
2019.5,196.9
2019.4166666666667,194.8
2019.3333333333333,194.2
2019.25,194.5
2019.1666666666667,193.8
2019.0833333333333,193.7
