Year and Month,Jobs in thousands
2023.4166666666667,204.8
2023.3333333333333,203.1
2023.25,201.7
2023.1666666666667,201.2
2023.0833333333333,201.6
2023.0,201.4
2022.9166666666667,204.7
2022.8333333333333,201.5
2022.75,198.2
2022.6666666666667,178.3
2022.5833333333333,178.6
2022.5,198.2
2022.4166666666667,200.6
2022.3333333333333,198.8
2022.25,197.8
2022.1666666666667,197.6
2022.0833333333333,196.6
2022.0,198.5
2021.9166666666667,197.9
2021.8333333333333,195.7
2021.75,192.9
2021.6666666666667,168.4
2021.5833333333333,169.8
2021.5,191.8
2021.4166666666667,194.3
2021.3333333333333,192.2
2021.25,189.9
2021.1666666666667,188.3
2021.0833333333333,187.4
2021.0,190.0
2020.9166666666667,191.4
2020.8333333333333,188.7
2020.75,184.5
2020.6666666666667,162.9
2020.5833333333333,161.5
2020.5,182.0
2020.4166666666667,187.8
2020.3333333333333,189.6
2020.25,203.6
2020.1666666666667,202.6
2020.0833333333333,201.9
2020.0,203.2
2019.9166666666667,202.9
2019.8333333333333,201.4
2019.75,197.5
2019.6666666666667,178.1
2019.5833333333333,180.9
2019.5,203.6
2019.4166666666667,203.5
2019.3333333333333,201.1
2019.25,201.0
2019.1666666666667,200.2
2019.0833333333333,200.2
