Year and Month,Jobs in thousands
2023.4166666666667,94.7
2023.3333333333333,94.5
2023.25,94.5
2023.1666666666667,93.6
2023.0833333333333,93.5
2023.0,94.0
2022.9166666666667,93.4
2022.8333333333333,93.0
2022.75,92.1
2022.6666666666667,92.6
2022.5833333333333,92.3
2022.5,92.2
2022.4166666666667,91.5
2022.3333333333333,91.4
2022.25,91.0
2022.1666666666667,90.6
2022.0833333333333,90.3
2022.0,92.2
2021.9166666666667,91.2
2021.8333333333333,91.1
2021.75,91.9
2021.6666666666667,93.5
2021.5833333333333,94.4
2021.5,94.1
2021.4166666666667,93.9
2021.3333333333333,94.0
2021.25,94.3
2021.1666666666667,94.2
2021.0833333333333,94.4
2021.0,96.5
2020.9166666666667,96.4
2020.8333333333333,96.0
2020.75,95.1
2020.6666666666667,95.0
2020.5833333333333,94.3
2020.5,93.2
2020.4166666666667,92.7
2020.3333333333333,96.1
2020.25,105.5
2020.1666666666667,105.3
2020.0833333333333,105.3
2020.0,105.5
2019.9166666666667,105.2
2019.8333333333333,104.9
2019.75,104.8
2019.6666666666667,106.0
2019.5833333333333,105.6
2019.5,106.1
2019.4166666666667,105.7
2019.3333333333333,105.1
2019.25,105.0
2019.1666666666667,104.6
2019.0833333333333,105.0
