Year and Month,Jobs in thousands
2023.4166666666667,3302.4
2023.3333333333333,3280.7
2023.25,3237.8
2023.1666666666667,3214.8
2023.0833333333333,3196.9
2023.0,3258.4
2022.9166666666667,3271.2
2022.8333333333333,3270.7
2022.75,3242.2
2022.6666666666667,3283.9
2022.5833333333333,3292.9
2022.5,3268.8
2022.4166666666667,3214.7
2022.3333333333333,3196.1
2022.25,3144.4
2022.1666666666667,3127.6
2022.0833333333333,3101.1
2022.0,3172.5
2021.9166666666667,3179.1
2021.8333333333333,3171.2
2021.75,3129.4
2021.6666666666667,3166.5
2021.5833333333333,3168.2
2021.5,3120.1
2021.4166666666667,3072.2
2021.3333333333333,3037.6
2021.25,2976.7
2021.1666666666667,2952.1
2021.0833333333333,2933.8
2021.0,3001.2
2020.9166666666667,3013.4
2020.8333333333333,3005.9
2020.75,2951.1
2020.6666666666667,2947.8
2020.5833333333333,2903.5
2020.5,2809.5
2020.4166666666667,2683.2
2020.3333333333333,2606.4
2020.25,3178.9
2020.1666666666667,3208.9
2020.0833333333333,3197.4
2020.0,3277.7
2019.9166666666667,3282.1
2019.8333333333333,3279.8
2019.75,3266.9
2019.6666666666667,3312.0
2019.5833333333333,3320.9
2019.5,3310.7
2019.4166666666667,3259.0
2019.3333333333333,3229.4
2019.25,3166.9
2019.1666666666667,3153.2
2019.0833333333333,3146.6
