Year and Month,Jobs in thousands
2023.4166666666667,56.5
2023.3333333333333,59.3
2023.25,59.2
2023.1666666666667,58.2
2023.0833333333333,48.4
2023.0,59.6
2022.9166666666667,60.6
2022.8333333333333,60.7
2022.75,57.3
2022.6666666666667,50.3
2022.5833333333333,50.5
2022.5,52.6
2022.4166666666667,53.7
2022.3333333333333,55.3
2022.25,54.4
2022.1666666666667,53.7
2022.0833333333333,44.7
2022.0,54.2
2021.9166666666667,54.8
2021.8333333333333,54.3
2021.75,49.9
2021.6666666666667,52.4
2021.5833333333333,52.7
2021.5,53.3
2021.4166666666667,50.9
2021.3333333333333,54.9
2021.25,54.7
2021.1666666666667,53.8
2021.0833333333333,45.9
2021.0,52.3
2020.9166666666667,54.0
2020.8333333333333,53.8
2020.75,51.9
2020.6666666666667,50.3
2020.5833333333333,50.5
2020.5,52.0
2020.4166666666667,58.4
2020.3333333333333,58.7
2020.25,64.5
2020.1666666666667,64.0
2020.0833333333333,50.8
2020.0,64.2
2019.9166666666667,65.1
2019.8333333333333,64.1
2019.75,59.7
2019.6666666666667,48.1
2019.5833333333333,50.3
2019.5,50.1
2019.4166666666667,63.8
2019.3333333333333,65.2
2019.25,64.0
2019.1666666666667,63.6
2019.0833333333333,47.6
