Year and Month,Jobs in thousands
2023.4166666666667,3.2
2023.3333333333333,3.2
2023.25,3.2
2023.1666666666667,3.2
2023.0833333333333,3.2
2023.0,3.5
2022.9166666666667,3.5
2022.8333333333333,3.6
2022.75,3.6
2022.6666666666667,3.7
2022.5833333333333,3.7
2022.5,3.7
2022.4166666666667,3.7
2022.3333333333333,3.7
2022.25,3.7
2022.1666666666667,3.7
2022.0833333333333,3.7
2022.0,3.8
2021.9166666666667,3.8
2021.8333333333333,3.8
2021.75,3.9
2021.6666666666667,3.9
2021.5833333333333,3.9
2021.5,3.9
2021.4166666666667,3.9
2021.3333333333333,3.9
2021.25,3.9
2021.1666666666667,3.9
2021.0833333333333,3.9
2021.0,3.9
2020.9166666666667,3.9
2020.8333333333333,3.9
2020.75,3.9
2020.6666666666667,3.9
2020.5833333333333,3.9
2020.5,3.9
2020.4166666666667,3.9
2020.3333333333333,3.8
2020.25,3.9
2020.1666666666667,3.9
2020.0833333333333,3.9
2020.0,3.9
2019.9166666666667,3.9
2019.8333333333333,3.9
2019.75,4.0
2019.6666666666667,4.1
2019.5833333333333,4.1
2019.5,4.0
2019.4166666666667,4.0
2019.3333333333333,4.0
2019.25,3.9
2019.1666666666667,4.0
2019.0833333333333,4.0
