Year and Month,Jobs in thousands
2023.4166666666667,128.2
2023.3333333333333,130.1
2023.25,129.7
2023.1666666666667,128.6
2023.0833333333333,118.9
2023.0,130.3
2022.9166666666667,131.8
2022.8333333333333,132.0
2022.75,129.5
2022.6666666666667,123.5
2022.5833333333333,124.0
2022.5,126.2
2022.4166666666667,125.7
2022.3333333333333,126.5
2022.25,125.3
2022.1666666666667,124.5
2022.0833333333333,115.7
2022.0,125.5
2021.9166666666667,126.1
2021.8333333333333,126.3
2021.75,122.9
2021.6666666666667,126.0
2021.5833333333333,126.5
2021.5,126.7
2021.4166666666667,123.4
2021.3333333333333,126.6
2021.25,126.4
2021.1666666666667,125.9
2021.0833333333333,117.9
2021.0,124.6
2020.9166666666667,126.6
2020.8333333333333,126.9
2020.75,125.3
2020.6666666666667,124.5
2020.5833333333333,124.9
2020.5,126.5
2020.4166666666667,131.2
2020.3333333333333,131.1
2020.25,137.8
2020.1666666666667,137.2
2020.0833333333333,124.2
2020.0,137.3
2019.9166666666667,138.3
2019.8333333333333,137.6
2019.75,133.8
2019.6666666666667,123.3
2019.5833333333333,126.0
2019.5,124.9
2019.4166666666667,137.3
2019.3333333333333,138.1
2019.25,136.3
2019.1666666666667,136.0
2019.0833333333333,120.0
