Year and Month,Jobs in thousands
2023.4166666666667,71.7
2023.3333333333333,70.8
2023.25,70.5
2023.1666666666667,70.4
2023.0833333333333,70.5
2023.0,70.7
2022.9166666666667,71.2
2022.8333333333333,71.3
2022.75,72.2
2022.6666666666667,73.2
2022.5833333333333,73.5
2022.5,73.6
2022.4166666666667,72.0
2022.3333333333333,71.2
2022.25,70.9
2022.1666666666667,70.8
2022.0833333333333,71.0
2022.0,71.3
2021.9166666666667,71.3
2021.8333333333333,72.0
2021.75,73.0
2021.6666666666667,73.6
2021.5833333333333,73.8
2021.5,73.4
2021.4166666666667,72.5
2021.3333333333333,71.7
2021.25,71.7
2021.1666666666667,72.1
2021.0833333333333,72.0
2021.0,72.3
2020.9166666666667,72.6
2020.8333333333333,73.1
2020.75,73.4
2020.6666666666667,74.2
2020.5833333333333,74.4
2020.5,74.5
2020.4166666666667,72.8
2020.3333333333333,72.4
2020.25,73.3
2020.1666666666667,73.2
2020.0833333333333,73.4
2020.0,73.1
2019.9166666666667,73.2
2019.8333333333333,73.5
2019.75,74.1
2019.6666666666667,75.2
2019.5833333333333,75.7
2019.5,74.8
2019.4166666666667,73.5
2019.3333333333333,72.9
2019.25,72.3
2019.1666666666667,72.4
2019.0833333333333,72.4
